align_loss,arm,code_lm_loss,dataset,doc_lm_loss,final_loss,loss,n_params,size,step,wall_s
,base,,rj,,5.989480018615723,5.989480018615723,62336,xs,150,3.97
,base,,rj,,5.581029415130615,5.581029415130615,223808,s,150,8.52
,base,,rj,,4.892437934875488,4.892437934875488,940800,m,150,21.23
,mtp,,rj,,6.023307800292969,6.023307800292969,96128,xs,150,6.67
,mtp,,rj,,5.776109218597412,5.776109218597412,290368,s,150,10.78
,mtp,,rj,,5.266219615936279,5.266219615936279,1072896,m,150,24.65
,base,,code,,6.108299732208252,6.108299732208252,62336,xs,150,3.93
,base,,code,,5.663370609283447,5.663370609283447,223808,s,150,7.89
,base,,code,,4.799407005310059,4.799407005310059,940800,m,150,22.45
,mtp,,code,,6.061148643493652,6.061148643493652,96128,xs,150,6.75
,mtp,,code,,5.751919269561768,5.751919269561768,290368,s,150,10.82
,mtp,,code,,5.367710590362549,5.367710590362549,1072896,m,150,27.82
0.3728342056274414,jepa-aux,6.266075134277344,code,6.248634338378906,6.266075134277344,,64448,xs,150,6.13
0.2922305464744568,jepa-aux,5.755223274230957,code,5.6579461097717285,5.755223274230957,,227968,s,150,14.04
0.12100107967853546,jepa-aux,4.974803447723389,code,4.856114864349365,4.974803447723389,,949056,m,150,37.83
